20241216T,7206.9,7348.3,7169.1,7242.8,865150
20241215T,6783.85,7245.65,6776.55,7119.75,1361538
20241212T,6584.75,6780,6455.6,6752.05,526445
20241211T,6519.8,6795.55,6476.9,6597.15,795583
20241210T,6355.1,6524.2,6340.25,6506.95,463465
20241209T,6304.8,6440,6231,6355.1,308390
20241208T,6250,6322.75,6191,6294.6,247257
20241205T,6264,6342.5,6171.8,6232.7,236565
20241204T,6229,6284.3,6182,6249.5,216036
20241203T,6310,6417.25,6131.1,6208.5,548042
20241202T,6349.65,6485,6152,6225.5,652777
20241201T,6015.55,6356.95,5995.35,6319.05,863163
20241128T,5860,6029.9,5860,5987.45,371946
20241127T,5909,5975.75,5828,5838.25,179612
20241126T,6011.8,6027,5833.8,5897.4,233240
20241125T,5896.05,6145,5896.05,5985.65,624296
20241124T,5985.5,5995,5855,5895.85,237030
20241121T,5850,5925,5800.05,5854.85,308507
20241120T,5762,5949.95,5675.55,5810.15,457575
20241119T,5665.95,5980,5612.7,5775.85,None
20241118T,5665.95,5980,5612.7,5775.85,633187
20241117T,5551,5674,5494.6,5622.65,330582
20241114T,5450,5583.15,5351.35,5538.15,None
20241113T,5450,5583.15,5351.35,5538.15,398853
20241112T,5720,5720,5412.9,5437.9,352496
20241111T,5655,5848.15,5647.15,5728.85,465960
20241110T,5544.8,5746.65,5464.85,5633,405984
20241107T,5813,5823.9,5515.1,5544.3,358576
20241106T,5899.9,6037.95,5735.6,5781.6,983997
20241105T,5439.4,5936.95,5376.35,5872.95,1679703
20241104T,5409,5417,5230.1,5312.65,242242
20241103T,5540,5549,5391.05,5414.05,182289
20241031T,5280,5619,5222,5440.05,None
20241030T,5280,5619,5222,5440.05,769620
20241029T,5560,5560,5233.95,5269.8,775897
20241028T,5355,5401.75,5160,5242.6,217256
20241027T,5348,5433.9,5260.05,5343.8,197896
20241024T,5562.05,5615,5155.65,5301.6,345285
20241023T,5499.4,5695.9,5472,5512.3,246682
20241022T,5372.35,5534.4,5245.95,5469.35,262702
20241021T,5653,5704.55,5365.65,5394.65,238544
20241020T,5637,5735.85,5588.3,5652.1,205547
20241017T,5545.55,5638,5402,5610.5,283762
20241016T,5748,5768.8,5571,5582.6,188647
20241015T,5709.5,5814.95,5660,5731.25,218713
20241014T,5714.4,5909.95,5657.8,5714.25,661200
20241013T,5593.95,5755.55,5580,5682.3,391807
20241010T,5564,5644.65,5455.45,5590.3,331685
20241009T,5412.25,5742,5362,5538.2,766364
20241008T,5255,5466.65,5233.7,5391.6,435921
20241007T,4878.95,5286.5,4801,5253.1,761492
20241006T,5075.8,5099.9,4778.4,4870.8,427602
20241003T,5219.2,5256.35,5020,5048.5,434677
